feature,metadata,value,coef,stderr,N,N.not.0,pval,qval,Days_before_NEC_onset
DLFM02_01543.F16_DCS_128.gene.3...740.1834.complete,NEC_status,Control,38.33720357469,2.20038537445536e-4,41,7,0.00554467522757666,0.231164033384997,3_4
X16128896.WP_000977920_1.1.1.ompF.ompF.mutation.2...outer_membrane_protein_F_OmpF,NEC_status,Control,-16.7233247948411,2.78740612850218e-4,41,7,0.00590950497979465,0.237639311843847,3_4
gb.AAC75137_1.ARO_3000794.mdtC__Escherichia_coli,NEC_status,Control,14.8201766563941,3.36002233979581e-4,41,8,0.00596436416654129,0.237782424545783,3_4
DLFM13_05433.CBP18SR2_PIP_77.gene.1...203.766.complete,NEC_status,Control,13.1454483671545,3.29601744370735e-4,41,5,0.00642371408477649,0.244809188930389,3_4
gb.ABV18113_1.ARO_3001329.mdtG__Escherichia_coli,NEC_status,Control,113.958098006803,0.782736992264943,40,10,2.90273237525425e-10,4.29637633277043e-7,4_5
gb.BAA16547_1.ARO_3000027.emrA__Escherichia_coli,NEC_status,Control,-56.9239923834286,1.53895722068076,40,9,2.72260861613113e-7,7.10043951593288e-5,4_5
DLFM05_00032.Ecoli.LibraryA_TET_7.gene.2...469.2250.complete,NEC_status,Control,36.5579398970956,1.17218977280221,40,9,6.36485728112174e-7,1.18945766120021e-4,4_5
gb.BAE78116_1.ARO_3003576.eptA__Escherichia_coli,NEC_status,Control,26.2427380739518,0.954651290425337,40,6,1.21034588930715e-6,1.86425759460397e-4,4_5
gb.BAB36671_1.ARO_3000832.evgA__Escherichia_coli,NEC_status,Control,93.1311086792688,3.88686345133892,40,10,2.37414955782693e-6,2.92939421248001e-4,4_5
gb.AAC76296_1.ARO_3000656.AcrS__Escherichia_coli,NEC_status,Control,21.6475613784371,1.18724760126837,40,7,9.13535179901433e-6,7.48772584954924e-4,4_5
DLFM10_00788.F22_FOX_2.gene.4...1203.1763.complete,NEC_status,Control,117.492229081244,6.97321781102638,40,9,1.35176664668839e-5,9.94328350689053e-4,4_5
DLFM07_02039.01J.000_CHL_11.gene.2...554.1762.complete,NEC_status,Control,23.7447106334119,1.46217594784861,40,8,1.61963382479739e-5,0.00110957003818209,4_5
gb.BAB35162_1.ARO_3000676.H.NS__Escherichia_coli,NEC_status,Control,90.3822512912776,5.73794570217704,40,9,1.95781685068068e-5,0.00128997027793006,4_5
X490288705.WP_004184324_1.1.1.crrB.crrB.mutation.2...HAMP_domain.containing_histidine_kinase_CrrB,NEC_status,Control,-36.2517059768682,2.35908904221953,40,12,2.13104163922029e-5,0.0013680942760237,4_5
DLFM10_02535.F19_AMP_43.gene.1...77.838.complete,NEC_status,Control,99.5562627719345,6.61078490446435,40,9,2.40407762316721e-5,0.00149928210466542,4_5
X447203987.WP_001281243_1.1.1.gyrA.gyrA.mutation.2...DNA_gyrase_subunit_A_GyrA,NEC_status,Control,111.704013966035,9.1487326551943209,40,9,6.54652790294363e-5,0.00309298198190795,4_5
DLFM06_00390.4.C8_CHL_14.gene.5...2951.3385.complete,NEC_status,Control,59.6154026677394,5.12848626507481,40,7,8.32540395910055e-5,0.00371727667045443,4_5
gb.AAC75137_1.ARO_3000794.mdtC__Escherichia_coli,NEC_status,Control,93.1953202436789,8.04646036477361,40,10,8.58007769869325e-5,0.00378491940519778,4_5
DLFM06_01963.1.A5_AMC_5.gene.3...772.2004.complete,NEC_status,Control,207.366492370297,18.2195561335128,40,10,9.16291766898453e-5,0.00395280000945855,4_5
X1028111146.WP_063865358_1.1.1.oqxA2.oqxA.efflux.2.PHENICOL_QUINOLONE.PHENICOL_QUINOLONE.multidrug_efflux_RND_transporter_periplasmic_adaptor_subunit_OqxA2,NEC_status,Control,-120.07424786829,10.9431111260297,40,15,1.09825248621772e-4,0.00462475129517372,4_5
gb.ANK04027_1.ARO_3003838.gadW__Escherichia_coli,NEC_status,Control,25.4307429002114,2.43938693736396,40,10,1.40256533051992e-4,0.00550237168127045,4_5
gb.AAC75136_1.ARO_3000793.mdtB__Escherichia_coli,NEC_status,Control,-25.5762348088352,2.52136166375347,40,8,1.59626899324925e-4,0.0060154964523925,4_5
gb.BAE77781_1.ARO_3000795.mdtE__Escherichia_coli,NEC_status,Control,13.8443458829105,1.59261551441086,40,7,3.33279984760595e-4,0.0106975883220359,4_5
DLFM11_03178.P13SR3_DCS_11.gene.1...258.644.complete,NEC_status,Control,64.3175587212293,7.41008730996299,40,7,3.36280466390064e-4,0.0107469636827609,4_5
DLFM04_02330.AmoxDisc.TwinA.Time2_SXT_6.gene.2...496.1086.complete,NEC_status,Control,-15.7230255435019,1.83673041468319,40,9,3.58427882086665e-4,0.0112993405135837,4_5
X26109869.AAN82074_1.1.1.iucB.iucB..1...N.6..hydroxylysine_O.acetyltransferase_IucB,NEC_status,Control,-55.6039102330977,6.79678758348487,40,4,4.43835903346268e-4,0.0133850643650418,4_5
X91070941.ABE05822_1.1.1.fdeC.fdeC..1...intimin.like_adhesin_FdeC,NEC_status,Control,129.582749481879,16.7413624137379,40,9,5.77521735353139e-4,0.0163965807859574,4_5
DLFM10_01716.F7_CAZ_4.gene.2...1003.1242.complete,NEC_status,Control,85.0043394652208,11.2123932020382,40,8,6.3413051991813e-4,0.0177234642231314,4_5
X3818601.AAC69584_1.1.1.ybtQ.ybtQ..1...yersiniabactin_ABC_transporter_ATP.binding_permease_protein_YbtQ,NEC_status,Control,70.0434014701753,9.72035833426946,40,11,8.02047076367175e-4,0.0215791094989762,4_5
DLFM04_00329.Control.TwinB.Time2_CST_61.gene.1...15.398.complete,NEC_status,Control,105.092427846049,14.5905618587069,40,11,8.19611974099635e-4,0.0219744098196105,4_5
gb.AAC75135_2.ARO_3000792.mdtA__Escherichia_coli,NEC_status,Control,-35.2831556708139,5.03473828890211,40,8,9.12018300313741e-4,0.0240860989553514,4_5
X170518246.ACB16424_1.1.1.lpfA.O113.lpfA.O113..1...long_polar_fimbria_major_subunit_LpfA.O113,NEC_status,Control,15.6354410030849,2.35065211115305,40,5,0.00116054018382509,0.0289504317595497,4_5
DLFM04_03593.AmoxConc.TwinA.Time1_FOX_7.gene.2...61.528.complete,NEC_status,Control,-56.840502319605,9.96893211979932,40,8,0.00231758007976432,0.0508980505555896,4_5
DLFM11_03957.P08SR2_FOX_6.gene.3...1806.2555.complete,NEC_status,Control,85.9649874968193,15.32787812557,40,8,0.00249178494527475,0.0543081334226549,4_5
DLFM06_00405.4.C8_AMC_5.gene.2...236.583.complete,NEC_status,Control,11.2201784195189,2.18916309394321,40,6,0.00369190957174275,0.0756511827424073,4_5
gb.CDO12042_1.ARO_3005053.ArnT__Klebsiella_pneumoniae_,NEC_status,Control,-43.8033909284304,9.52288742333071,40,16,0.00584137564437918,0.110155769135992,4_5
DLFM06_00053.5.D1_CHL_7.gene.2...1138.1464.complete,NEC_status,Control,375.226367683326,85.869136871125,40,35,0.00723355812993099,0.129796840564438,4_5
DLFM10_02828.F14_AMC_69.gene.1...18.776.complete,NEC_status,Control,34.967241840551,8.92940032799679,40,16,0.0112438966800414,0.184980235703908,4_5
DLFM06_00948.1.H8_CHL_2.gene.3...376.1206.complete,NEC_status,Control,-171.242738804434,45.0795368602615,40,10,0.0126455462219976,0.2023816497872,4_5
gb.BAA11237_1.ARO_3000254.emrY__Escherichia_coli_,NEC_status,Control,26.9773548405197,7.4564678483514,40,7,0.0152601459542211,0.234261103444397,4_5
TRIMETHOPRIM,NEC_status,Control,1415.50801669565,170.920784759975,41,15,0.00116038959024553,0.0626161207998809,5_6
MUPIROCIN,NEC_status,Control,1769.45364355952,367.406371237202,41,16,0.00854947280750293,0.177820969349457,5_6
DLFM11_04552.P02SR2_GEN_4.gene.1...108.500.complete,NEC_status,Control,1371.25781276527,45.2222553737846,41,13,7.04597837136422e-6,0.00685376699712876,5_6
X490288705.WP_004184324_1.1.1.crrB.crrB.mutation.2...HAMP_domain.containing_histidine_kinase_CrrB,NEC_status,Control,-384.518852827968,30.345000385113,41,13,2.23362145537866e-4,0.056157555963681,5_6
X446085580.WP_000163435_1.1.1.mupA.mupA.insensitivity.2.MUPIROCIN.MUPIROCIN.mupirocin.resistant_isoleucine..tRNA_ligase_MupA,NEC_status,Control,621.699161101879,67.1135724230611,41,4,7.57098488242685e-4,0.112050576259917,5_6
X2159997.BAA20336_1.1.1.MerP_Gneg.MerP_Gneg..1.MERCURY.MERCURY.mercury_resistance_system_periplasmic_binding_protein_MerP,NEC_status,Control,-2.47114410999278,0.27679493456077,41,2,8.7469212324746e-4,0.116508990816562,5_6
gb.AAC76297_1.ARO_3000499.AcrE__Escherichia_coli,NEC_status,Control,15.9443084291914,1.79840587955423,41,12,8.93951663890575e-4,0.117763979159456,5_6
X99030340.ABF61437_1.1.1.ncrY.ncrY..1.NICKEL.NICKEL.nickel_resistance_OB_fold_protein_NcrY,NEC_status,Control,-153.065128298188,17.4735316917597,41,6,9.37431063548094e-4,0.122291264723068,5_6
DLFM06_01321.1.G3_CHL_2.gene.1...292.624.complete,NEC_status,Control,-147.405727564777,17.8545777590125,41,25,0.00117426129623033,0.137373087426044,5_6
DLFM06_01906.1.A5_PEN_8.gene.3...1350.2228.complete,NEC_status,Control,-345.952495595937,43.2579767926385,41,18,0.00133772045962941,0.148486971018865,5_6
X150393.AAB59075_1.1.1.merT.merT..1.MERCURY.MERCURY.mercuric_transport_protein_MerT,NEC_status,Control,306.094141442097,42.59293398268,41,5,0.0019861021219803,0.174962043144863,5_6
DLFM10_01674.F3_AMX_5.gene.3...1791.2351.complete,NEC_status,Control,177.70648571586,26.1026507013733,41,10,0.00243462837257529,0.190760293662958,5_6
DLFM06_02465.5.B1_AMC_1.gene.2...746.1165.complete,NEC_status,Control,-181.136240575686,27.6594472191176,41,6,0.00281278130230903,0.205146597114804,5_6
DLFM13_05478.CBP18SR2_PIP_162.gene.2...172.1269.complete,NEC_status,Control,-381.54124325719,58.8270800358467,41,17,0.00291353557589878,0.205782918737826,5_6
STREPTOTHRICIN,NEC_status,Control,-43.3530314457614,1.89527462010286,44,11,1.41485747697824e-8,1.69368253969445e-6,6_7
DLFM13_06902.CBP23SR2_FOX_23.gene.6...1820.2140.complete,NEC_status,Control,-40.5627790210987,0.126754045016024,44,6,1.02307769394558e-17,3.56031037493063e-14,6_7
DLFM13_06906.CBP23SR2_FOX_33.gene.7...4155.5273.complete,NEC_status,Control,-16.3830994228972,0.149805645606272,44,4,5.46093421581854e-14,2.83039058504978e-11,6_7
DLFM06_00390.4.C8_CHL_14.gene.5...2951.3385.complete,NEC_status,Control,21.9563442709561,0.241013953238708,44,8,2.39372299428159e-13,1.0230016165035e-10,6_7
DLFM04_03604.AmoxConc.TwinA.Time1_FOX_12.gene.4...1942.2736.complete,NEC_status,Control,33.8277639058842,0.863735982042045,44,8,2.08820660214998e-10,4.38523386451497e-8,6_7
DLFM06_01063.1.G7_TET_5.gene.3...1385.2485.complete,NEC_status,Control,23.3597532362307,0.863738578748375,44,10,5.47819184076874e-9,8.55440725904657e-7,6_7
X150633.AAA98222_1.1.1.merT.merT..1.MERCURY.MERCURY.mercuric_transport_protein_MerT,NEC_status,Control,-16.7399132157622,0.755747407148776,44,6,2.02723660653596e-8,2.71337822720967e-6,6_7
DLFM06_02016.1.A2_CHL_19.gene.2...409.753.complete,NEC_status,Control,29.4468541054463,1.39748727673271,44,7,3.08209994888597e-8,3.63367916708115e-6,6_7
X1028098403.WP_063854934_1.1.1.sat4.sat4.acetyltransferase.2.STREPTOTHRICIN.STREPTOTHRICIN.streptothricin_N.acetyltransferase_Sat4,NEC_status,Control,-44.2880880567219,2.42696528806585,44,10,8.47229458505269e-8,8.03054848606551e-6,6_7
X446655928.WP_000733274_1.1.1.blaZ.blaZ.hydrolase.2.BETA.LACTAM.BETA.LACTAM.penicillin.hydrolyzing_class_A_beta.lactamase_BlaZ,NEC_status,Control,-22.0124235107634,1.27872420186268,44,9,1.32502070248541e-7,1.17372742954708e-5,6_7
X1028082228.WP_063841495_1.1.1.aph.3_..IIIa.aph.3_..IIIa.phosphotransferase.2.AMIKACIN_KANAMYCIN.AMINOGLYCOSIDE.aminoglycoside_O.phosphotransferase_APH.3_..IIIa,NEC_status,Control,-37.0052911478793,2.25545545061448,44,10,1.91947812930564e-7,1.62557360329387e-5,6_7
X1028101879.WP_063857727_1.1.1.blaACT.1.blaACT.hydrolase.2.CEPHALOSPORIN.BETA.LACTAM.cephalosporin.hydrolyzing_class_C_beta.lactamase_ACT.1,NEC_status,Control,-15.7103353646556,1.17268730343368,44,4,9.24938204049605e-7,6.43756990018525e-5,6_7
DLFM10_03549.F19_ATM_21.gene.4...2336.3697.complete,NEC_status,Control,20.3500290922085,1.57096629330428,44,8,1.19450534621972e-6,8.04742532348033e-5,6_7
X1028081053.WP_063840436_1.1.1.aadA21.aadA21.nucleotidyltransferase.2.STREPTOMYCIN.AMINOGLYCOSIDE.ANT.3__..Ia_family_aminoglycoside_nucleotidyltransferase_AadA21,NEC_status,Control,-10.0808467657132,0.825314811386399,44,4,1.89000036334265e-6,1.18660847554193e-4,6_7
DLFM06_02016.1.A2_CHL_19.gene.3...931.1401.complete,NEC_status,Control,22.2063419522731,1.85706615013438,44,6,2.20371090525453e-6,1.35561610232324e-4,6_7
DLFM10_00558.F3_FOX_14.gene.9...3716.4426.complete,NEC_status,Control,0.53412785997014,0.0502175808023056,44,3,5.34583173775048e-6,2.90032207420048e-4,6_7
DLFM12_03383.DFP05SR1_TET_65.gene.2...360.854.complete,NEC_status,Control,0.975921616341212,0.096476052123394,44,2,7.79282654201911e-6,3.92217468106582e-4,6_7
DLFM10_02052.F17_CHL_56.gene.3...865.2097.complete,NEC_status,Control,15.4625742434081,1.61243568878388,44,8,1.19598040236386e-5,5.67915840186813e-4,6_7
X40218082.AAR82964_1.1.1.nirB.nirB..1.NICKEL.NICKEL.nickel.sensing_transcriptional_repressor_NirB,NEC_status,Control,3.74911804648593,0.380044968697325,44,8,1.40847950655896e-5,6.49821226889703e-4,6_7
DLFM06_01571.1.E2_PEN_24.gene.1...29.1294.complete,NEC_status,Control,-55.3530356808444,6.25248023897274,44,21,2.09133240393941e-5,9.06492123842774e-4,6_7
DLFM04_03593.AmoxConc.TwinA.Time1_FOX_7.gene.2...61.528.complete,NEC_status,Control,15.3077683682765,1.83439265169751,44,9,3.21871083908561e-5,0.0012790831327916,6_7
gb.BAB38260_1.ARO_3000830.cpxA__Escherichia_coli,NEC_status,Control,-73.4205792486996,10.636272963036,44,20,1.24216929349949e-4,0.00392977194670746,6_7
X1028083784.WP_063842752_1.1.1.blaOXY.2.14.blaOXY.2.hydrolase.2.BETA.LACTAM.BETA.LACTAM.class_A_extended.spectrum_beta.lactamase_OXY.2.14,NEC_status,Control,14.4444674902734,2.28663853891804,44,7,2.28590214467513e-4,0.00648248850340934,6_7
DLFM13_06428.CBP22SR2_CHL_31.gene.5...2731.3279.complete,NEC_status,Control,-19.1125382763803,3.12676466693487,44,4,2.85494898654194e-4,0.0078466768974306,6_7
DLFM10_01946.F19_CHL_32.gene.3...1275.2144.complete,NEC_status,Control,27.1213046621795,4.60698367707881,44,11,3.71015898727676e-4,0.00978132823918419,6_7
X1028100276.WP_063856411_1.1.1.tet.S..tet.S..target_protection.2.TETRACYCLINE.TETRACYCLINE.tetracycline_resistance_ribosomal_protection_protein_Tet.S.,NEC_status,Control,-5.73106329063692,1.01941841175581,44,3,4.97690026222332e-4,0.0126157430164162,6_7
DLFM10_03719.F19_TET_34.gene.5...4960.5445.complete,NEC_status,Control,7.40529538386481,1.32523013284217,44,19,5.41870301335974e-4,0.0135107067968724,6_7
DLFM04_03490.AmoxConc.TwinA.Time1_TMP_3.gene.2...521.1000.complete,NEC_status,Control,14.0493321161474,2.66012420564339,44,10,7.44892660979993e-4,0.0175150436500701,6_7
X4206629.AAD11748_1.1.1.silB.silB..1.COPPER_SILVER.COPPER_SILVER.Cu..._Ag..._efflux_RND_transporter_periplasmic_adaptor_subunit_SilB,NEC_status,Control,-36.4895438177001,6.98731277704792,44,7,8.08079401589233e-4,0.0187358805252274,6_7
X224815203.ACN65732_1.1.1.emrD.emrD.efflux.1.EFFLUX.EFFLUX.multidrug_efflux_MFS_transporter_EmrD,NEC_status,Control,-12.3133593217223,2.42993969291253,44,20,9.77244679066943e-4,0.0219609597620579,6_7
DLFM06_01906.1.A5_PEN_8.gene.3...1350.2228.complete,NEC_status,Control,-23.9843754391287,4.93280397955612,44,20,0.00126107717775911,0.0271376678888798,6_7
DLFM06_01729.1.C6_AMP_3.gene.7...2838.3896.complete,NEC_status,Control,-18.123843637727,3.43001911622763,44,9,0.00142564209980297,0.0299643154022436,6_7
DLFM06_01991.1.A2_PIP_9.gene.2...587.2062.complete,NEC_status,Control,10.6732227651543,2.23948062952092,44,6,0.00143316034184989,0.0300187325257638,6_7
X20152201.BAB89353_1.1.1.fieF.fieF..1...CDF_family_cation.efflux_transporter_FieF,NEC_status,Control,-43.7283736494927,9.26834356708501,44,21,0.00150927792679951,0.0313168741881057,6_7
DLFM10_00448.F19_FOX_3.gene.5...1161.1643.complete,NEC_status,Control,26.7239536724224,5.69074011909051,44,23,0.00154936997119285,0.0319162165151721,6_7
DLFM13_05433.CBP18SR2_PIP_77.gene.1...203.766.complete,NEC_status,Control,24.2058441513199,5.17820560294078,44,8,0.0015936808348421,0.0327060363409886,6_7
